"County","Precinct","CST","REP","DEM","LIB","GRE"
"GUILFORD","H14",0,176,63,5,0
"AVERY","09",0,129,13,1,0
"SAMPSON","HARR",4,436,845,7,0
"UNION","029C",1,1360,749,17,6
"WAKE","07-06",3,219,120,16,3
"BEAUFORT","EDWAR",0,145,72,2,0
"BUNCOMBE","681",0,92,62,2,0
"BEAUFORT","WASHP",0,165,48,3,0
"YANCEY","01 BUR",3,1571,993,24,6
"GUILFORD","G08",0,72,195,3,0
"SURRY","01",1,266,35,4,0
"HERTFORD","BOE OFFICE",4,1599,3482,11,6
"FRANKLIN","09",1,799,411,9,2
"PITT","PROVISIONAL",2,254,342,11,5
"ASHE","09",6,1886,719,19,1
"CATAWBA","27",3,2446,607,27,4
"DAVIDSON","62",0,264,512,7,5
"LINCOLN","ST36",0,455,121,3,0
"AVERY","10",0,236,38,4,0
"GUILFORD","H23",0,113,54,2,0
"PAMLICO","2SW",1,233,101,3,1
"ORANGE","CS1",0,110,60,5,1
"BLADEN","P80",2,167,69,0,1
"CUMBERLAND","G2B",5,1097,1964,44,7
"FORSYTH","904",2,369,1335,16,5
"MECKLENBURG","138",2,420,1690,20,5
"WILSON","PRWL",5,960,964,22,2
"STANLY","0027",2,1528,474,7,2
"ONSLOW","ML23",1,621,241,12,0
"BURKE","0070",1,1400,535,9,1
"SURRY","25",0,268,46,2,0
"ASHE","07",0,201,71,4,0
"MONTGOMERY","PEE",0,809,189,5,0
"MARTIN","HS",0,24,36,0,0
"DARE","MH",1,171,35,4,0
"CARTERET","BFT1",1,529,695,8,3
"BRUNSWICK","10B",2,3241,2250,17,7
"DURHAM","40",1,27,96,1,0
"GUILFORD","SMAD",0,186,94,6,2
"WAYNE","ABSENTEE",12,2403,4379,66,20
"STANLY","0022",3,1274,321,6,2
"EDGECOMBE","1204",0,12,165,0,1
"MOORE","LTR",2,284,63,4,0
"ASHE","17",0,483,127,7,1
"MADISON","GRAPEV",3,574,277,8,2
"ORANGE","WH",0,103,126,7,2
"GUILFORD","G21",0,164,177,6,1
"RUTHERFORD","30",2,1440,1040,16,6
"ROWAN","04",9,2698,592,25,2
"WASHINGTON","LM",0,73,95,0,0
"DURHAM","44",3,157,121,4,1
"NORTHAMPTON","ABSENTEE",0,263,705,5,1
"CUMBERLAND","CC25",2,524,838,19,6
"EDGECOMBE","0901",0,263,49,2,0
"WAKE","01-39",0,92,128,15,1
"WILSON","PRWB",1,55,629,4,0
"ORANGE","SM",1,278,81,6,1
"NASH","P21A",2,94,203,2,0
"ORANGE","HE",1,88,40,2,2
"PASQUOTANK","WEST",0,66,167,7,2
"WAKE","19-16",0,208,132,5,1
"CARTERET","NPT2",6,1774,444,34,1
"LEE","C1",0,384,160,2,4
"WILSON","PRWA",0,103,491,3,2
"CHEROKEE","HANG",2,498,87,9,1
"BRUNSWICK","01",1,775,565,9,2
"CABARRUS","08-00",0,494,83,12,1
"CLEVELAND","S 4A",7,1827,1629,22,6
"WAKE","02-01",1,344,133,10,1
"PITT","ABSENTEE",18,2758,8379,96,35
"PITT","1506",0,71,131,3,0
"WAKE","01-47",2,212,89,6,2
"BURKE","0019",0,329,168,1,1
"DAVIDSON","04",9,3100,853,28,6
"MADISON","HOT SP",2,408,227,6,0
"CATAWBA","10",0,175,239,5,2
"GRANVILLE","SALM",2,766,697,9,2
"HENDERSON","OS ETOWAH",0,0,0,0,0
"MECKLENBURG","064",0,221,517,10,3
"CABARRUS","04-03",1,251,178,6,4
"FRANKLIN","15",10,919,1644,21,5
"ORANGE","PA",1,81,81,0,0
"WAKE","01-35",0,24,221,1,1
"GASTON","18",8,2291,2279,45,14
"ROWAN","35",1,263,618,8,2
"MECKLENBURG","047",1,695,953,17,4
"MONTGOMERY","T1",1,954,533,14,1
"SAMPSON","TURK",0,443,406,4,1
"ALEXANDER","G1G2",3,1047,229,1,0
"DARE","ONE STOP TWO",1,1114,673,14,3
"LINCOLN","WEST OS",1,4095,747,17,6
"CHATHAM","PIT113",3,2524,3729,59,20
"NORTHAMPTON","SEVERN",0,71,16,2,0
"GUILFORD","CG2",1,152,116,1,2
"MECKLENBURG","143",6,2015,1608,39,9
"MECKLENBURG","042",2,78,1384,5,7
"PAMLICO","4MSIC",0,65,83,0,0
"DURHAM","42",1,8,126,2,0
"WILKES","TRANSFER",0,3,0,0,0
"HAYWOOD","BE-3",1,978,338,7,5
"FORSYTH","704",2,410,1152,30,7
"WAKE","02-02",1,528,167,17,2
"COLUMBUS","P09",2,388,359,2,2
"MONTGOMERY","CHE",0,426,127,2,0
"HENDERSON","CV",1,166,193,1,2
"BEAUFORT","CHOCO",0,236,110,6,2
"CATAWBA","20",3,1963,596,19,12
"MECKLENBURG","232",5,1674,1382,36,6
"BURKE","0020",0,437,334,6,1
"CUMBERLAND","G10B",3,990,1146,28,6
"NORTHAMPTON","SEABOA",0,53,114,2,1
"MOORE","ABSENTEE",10,4370,6797,100,26
"MECKLENBURG","126",1,304,1796,18,7
"ALAMANCE","TRANSFER",0,0,0,0,0
"WAKE","OSBR 41-80",1,132,749,5,0
"MECKLENBURG","214",4,545,1663,12,7
"FORSYTH","605",2,836,1865,22,12
"ROBESON","08",0,956,272,5,0
"MECKLENBURG","209",7,1609,1442,53,6
"STANLY","0011",3,835,255,9,3
"DURHAM","OS ML",8,580,8032,54,26
"WAKE","05-03",0,266,179,6,1
"CUMBERLAND","CC03",3,305,611,19,6
"HOKE","61",1,396,644,7,0
"FORSYTH","701",3,462,744,12,3
"STANLY","0026",2,1099,245,7,1
"MITCHELL","02",0,217,31,1,0
"DAVIE","06",1,957,229,10,2
"GASTON","20",2,2150,586,16,3
"ONSLOW","SF18",9,3054,955,67,1
"WAKE","04-05",0,185,143,13,2
"CRAVEN","20",4,1656,931,18,2
"BUNCOMBE","11.1",1,49,383,2,4
"BLADEN","P35",0,52,47,2,0
"BUNCOMBE","10.1",0,42,319,3,2
"PASQUOTANK","EAST",0,134,112,8,1
"ONSLOW","HM05",5,2048,1398,56,9
"CUMBERLAND","G2C-2",3,916,1093,21,8
"HENDERSON","BC",3,421,218,8,0
"UNION","019",5,3340,1895,61,11
"WILSON","PRWQ",0,13,409,2,0
"RANDOLPH","NM",2,2966,427,20,6
"WARREN","009",1,183,230,2,1
"CUMBERLAND","G3C",1,592,407,12,0
"UNION","015",6,2078,1669,34,9
"UNION","029A",7,1973,1972,36,12
"CALDWELL","PR31",0,106,60,0,0
"ROBESON","10",1,402,285,5,0
"BUNCOMBE","26.1",0,105,419,5,2
"MECKLENBURG","076",1,875,973,39,2
"SWAIN","BC2",6,1069,588,13,1
"WILKES","117",2,396,50,7,1
"FORSYTH","207",3,288,1426,12,7
"CHATHAM","24",1,591,61,2,0
"CUMBERLAND","G4A",3,457,619,12,6
"HARNETT","PROVISIONAL",0,114,93,3,0
"DUPLIN","CHAR",0,78,122,0,0
"CAMDEN","ONE STOP",3,2870,1057,42,7
"ONSLOW","NM13",1,762,113,5,2
"BUNCOMBE","27.2",0,57,241,4,1
"ORANGE","EA1",1,35,95,3,1
"WILKES","102",1,372,71,5,0
"BUNCOMBE","FVCC",12,4047,3313,54,18
"PITT","OS STUDENT CENTER",11,3287,5003,122,35
"SURRY","15",0,239,63,5,1
"LINCOLN","LN11",0,155,64,3,0
"GUILFORD","FEN1",0,96,168,0,2
"HAYWOOD","P",3,1454,392,9,3
"HENDERSON","FR",5,1285,847,15,4
"DAVIDSON","82",3,1682,304,20,6
"WAKE","OSCS 121-128",0,0,0,0,0
"WAYNE","28",1,269,168,10,1
"LENOIR","PH2",0,748,143,5,1
"RICHMOND","ELLERBE",0,887,481,3,3
"BURKE","0029-B",1,672,175,3,2
"HARNETT","PR28",2,880,153,25,0
"JOHNSTON","PR24",0,144,157,4,1
"MECKLENBURG","235",2,930,1133,20,8
"WAKE","04-18",1,204,147,13,3
"WATAUGA","OS WW",6,1938,831,10,2
"CURRITUCK","CI",0,100,16,0,0
"NEW HANOVER","H06",3,427,436,19,4
"CHEROKEE","TOPT",0,279,48,1,1
"GATES","4N",2,691,355,9,2
"CABARRUS","12-12",0,247,126,6,0
"HARNETT","PR25",0,290,241,3,2
"WILKES","119",1,554,86,4,1
"ANSON","LILE",1,659,972,5,3
"LENOIR","K6",3,176,1188,3,2
"HALIFAX","RRCE",0,288,107,1,2
"CRAVEN","03",2,2043,928,26,4
"SURRY","PROVISIONAL",0,104,15,2,0
"WAKE","OSLH 1-40",11,5629,9843,139,28
"FORSYTH","709",5,898,1611,26,4
"CABARRUS","12-13",0,155,366,9,1
"FORSYTH","402",2,25,799,1,2
"RANDOLPH","AS",5,2247,820,25,7
"BUNCOMBE","58.1",1,192,427,6,2
"GUILFORD","G34",0,127,77,8,1
"HALIFAX","ABSENTEE",5,531,1560,2,3
"NEW HANOVER","ONE STOP CFN",13,4771,3133,106,16
"CALDWELL","PR22",1,361,65,3,0
"SURRY","31",3,274,102,9,0
"CUMBERLAND","CC519",9,215,1542,18,8
"PITT","1504B",0,149,278,12,0
"WAKE","15-02",2,486,200,15,1
"MECKLENBURG","226",1,1103,1250,29,3
"WILKES","115A",1,592,79,5,1
"DURHAM","OS ENO",5,1297,6867,56,21
"WILSON","PRSA",0,383,385,5,1
"CLAY","HAY1",1,693,238,5,2
"GASTON","03",4,455,817,3,1
"POLK","WO06",1,294,50,5,1
"CHOWAN","4",0,354,325,3,2
"ORANGE","H",0,24,57,3,0
"DARE","STPT",0,67,9,1,1
"CUMBERLAND","CL57-1",6,612,1670,32,7
"ROCKINGHAM","HO",3,1181,428,13,4
"MARTIN","J",0,359,98,3,0
"ONSLOW","NE22A",3,1277,1230,69,8
"DUPLIN","OS WALLACE",3,3067,2273,19,6
"FORSYTH","122",10,1879,3140,43,14
"MONTGOMERY","STA",1,974,258,7,1
"CUMBERLAND","G2E-1",3,331,1175,12,3
"ROBESON","34",1,752,190,1,1
"GUILFORD","G37",0,108,267,11,2
"WAKE","OSWN 41-80",2,887,2509,36,12
"UNION","004",3,154,684,6,4
"DAVIDSON","54",0,1232,77,4,5
"MOORE","ONE STOP VTH",6,4268,1424,49,7
"DAVIDSON","72",3,1701,310,15,2
"GUILFORD","JAM5",0,211,45,0,0
"UNION","009",5,395,638,10,1
"MECKLENBURG","ABSENTEE BY MAIL",187,29329,103048,1305,381
"PITT","0200A",2,255,116,9,3
"WAKE","07-11",1,130,65,3,0
"JACKSON","GLV",9,864,394,7,5
"BUNCOMBE","15.1",0,103,570,3,3
"EDGECOMBE","DET OF SOCIAL SERVICES",8,1148,6035,10,8
"WAKE","15-03",2,730,200,18,3
"FORSYTH","603",4,312,1260,9,10
"WAKE","04-20",0,225,192,14,2
"CHEROKEE","MARB",5,845,166,6,5
"WAYNE","18",1,37,102,1,0
"HOKE","05",2,624,525,8,1
"MITCHELL","05",1,514,93,3,0
"WAKE","PROVI 1-40",3,538,783,29,10
"CARTERET","WIHA",0,1092,387,9,0
"JACKSON","CUL",7,1632,2509,77,32
"NEW HANOVER","FP04",1,682,736,24,7
"CRAVEN","23",3,2678,1601,44,5
"CAMDEN","SH",0,334,53,5,0
"WAKE","05-08",0,170,193,3,0
"WAKE","17-04",0,266,271,11,3
"YADKIN","SLIB",1,474,54,4,1
"HERTFORD","SJ",0,92,72,2,1
"WAKE","07-07A",0,102,140,0,1
"JOHNSTON","PR30",3,412,193,8,0
"WATAUGA","13",0,127,103,10,2
"PITT","OS EPPES",11,514,5780,26,11
"AVERY","PROVISIONAL",0,66,6,1,0
"DURHAM","OS ERL",11,3368,6677,110,26
"PITT","OS WILLIS BUILDING",13,4438,3901,66,19
"CHATHAM","15",4,715,1275,9,5
"MECKLENBURG","208",2,2200,1137,25,7
"BERTIE","C1",0,114,51,0,0
"WAKE","01-07",0,119,159,11,1
"DAVIDSON","20",7,1656,205,24,1
"HAYWOOD","LJ",2,684,473,16,2
"WAKE","OSAV 81-120",2,362,668,10,1
"UNION","016",3,2746,1671,55,10
"MECKLENBURG","127",4,1796,1499,24,1
"CRAVEN","CFB8",3,759,386,11,4
"JOHNSTON","BENSON",4,5626,1139,38,2
"BLADEN","P40",0,229,63,0,0
"BERTIE","PROVISIONAL",0,9,28,0,0
"CRAVEN","CLR4",4,908,828,29,1
"WAKE","01-03",0,190,112,8,2
"DAVIDSON","OS MIDWAY FIRE DEPT",0,0,0,0,0
"BRUNSWICK","10A",8,2362,1229,23,3
"HAYWOOD","BC",0,12,10,0,0
"ALAMANCE","09N",4,1060,841,18,3
"MECKLENBURG","125",1,226,605,5,0
"JOHNSTON","PR19",2,396,74,3,0
"GASTON","10",2,976,1003,22,7
"BUNCOMBE","04.1",1,78,413,4,3
"DARE","KTHK",0,440,116,4,3
"SAMPSON","CLEA",2,854,1249,6,2
"UNION","033",4,1303,666,29,6
"MECKLENBURG","102",3,865,1968,35,8
"WARREN","001",2,509,361,5,3
"JOHNSTON","PR37",0,556,161,14,1
"BURKE","0036",3,1100,352,13,1
"MARTIN","GN",0,190,131,1,1
"PITT","0701",0,320,77,6,2
"UNION","032",2,1965,841,21,2
"ONSLOW","HR17",3,1516,667,42,6
"CATAWBA","31",5,3015,968,38,2
"JOHNSTON","PR28",1,338,107,10,1
"WAKE","OSLL 121-128",0,6,2,0,0
"WAKE","OSWO 41-80",6,1838,1524,35,10
"SAMPSON","GARL",1,416,477,2,2
"BURKE","0003",1,684,195,4,0
"RANDOLPH","TR",6,5453,1140,43,13
"NEW HANOVER","W24",2,173,468,12,7
"HALIFAX","WEL 3",1,92,121,0,1
"BUNCOMBE","BTFD",10,2708,2861,46,10
"NASH","P15A",2,278,108,4,0
"GUILFORD","RC2",2,376,179,6,2
"GUILFORD","SUM1",0,87,151,6,1
"ROCKINGHAM","EC",5,1892,1210,27,4
"NASH","P01A",0,315,125,5,2
"WAYNE","08",0,415,55,9,0
"MECKLENBURG","081",5,487,2131,25,8
"BURKE","0038",1,1037,612,12,3
"CABARRUS","05-00",0,326,77,4,2
"HALIFAX","HPR",0,139,96,1,1
"GUILFORD","H10",0,34,166,2,1
"ROWAN","32",2,949,344,8,1
"FORSYTH","808",3,800,1833,25,7
"EDGECOMBE","1401",0,196,25,0,0
"GUILFORD","H11",1,84,154,6,0
"WILKES","MCGEE OS",10,5899,1262,38,5
"GUILFORD","G19",1,144,106,3,0
"RUTHERFORD","13",8,1701,1218,17,4
"ALAMANCE","11",6,1330,1339,17,7
"ROWAN","09",1,1396,250,9,1
"AVERY","04",0,31,4,0,0
"WATAUGA","06",0,52,108,7,1
"WILKES","ABSENTEE",10,2301,2018,31,14
"MECKLENBURG","136",1,880,638,9,1
"WAKE","OSAV 1-40",12,4486,6974,114,22
"GUILFORD","G07",0,84,202,1,0
"JONES","P05",0,91,84,3,0
"DAVIDSON","60",1,1776,830,28,10
"ALLEGHANY","ONE STOP",5,3299,941,18,6
"JOHNSTON","PR22",0,553,145,12,1
"WAKE","OSWN 121-128",1,3,4,1,0
"LEE","D2",2,258,97,9,1
"MECKLENBURG","109",1,424,1303,21,4
"HAYWOOD","PC",1,666,155,6,3
"DUPLIN","GLIS",1,237,28,0,0
"CLEVELAND","RIPPY",5,1921,851,20,2
"FRANKLIN","18",7,1519,993,45,2
"BUNCOMBE","WGSC",5,272,4013,13,18
"STANLY","0019",3,1134,183,8,2
"JONES","ONE STOP",3,1914,1442,15,3
"HALIFAX","LIT",2,316,233,0,1
"CABARRUS","04-13",2,455,199,12,2
"YADKIN","SBCK",2,313,45,5,0
"UNION","028B",3,1907,1633,30,8
"CATAWBA","07",5,1376,824,18,10
"WAKE","04-06",3,189,164,8,2
"MOORE","BEN",2,381,82,0,1
"PITT","1301",0,226,47,3,0
"WATAUGA","OS FSCO",1,834,663,8,2
"BEAUFORT","AURORA OS",0,395,426,4,0
"BUNCOMBE","07.1",0,77,505,10,1
"BERTIE","WD",0,14,74,1,1
"DURHAM","10",1,25,163,4,1
"NORTHAMPTON","GALATI",0,86,32,0,0
"RICHMOND","03",0,120,39,1,0
"WAKE","18-02",3,424,145,22,3
"ROWAN","22",2,634,87,5,0
"BUNCOMBE","31.1",0,298,370,5,0
"BUNCOMBE","13.1",0,96,559,7,5
"JOHNSTON","PROVISIONAL",1,167,90,7,1
"NEW HANOVER","ONE STOP ARB",10,4038,3820,96,13
"MECKLENBURG","041",0,178,1319,8,13
"CLEVELAND","WACO",2,1724,778,12,5
"WAKE","08-05",1,226,119,5,1
"ROCKINGHAM","MS",3,2696,3015,36,5
"NASH","RMT 301 OS",8,3480,5854,38,11
"UNION","011",4,2035,274,8,3
"MOORE","EWD",1,237,87,5,0
"NORTHAMPTON","CREEKS",0,93,40,1,0
"SAMPSON","CLCE",1,92,567,2,1
"HALIFAX","OS SCOTLAND NECK",3,471,1320,6,0
"GUILFORD","H02",2,87,84,2,0
"ROWAN","41",5,873,1120,14,3
"MECKLENBURG","147",3,437,1683,23,11
"GUILFORD","G43",2,121,218,4,3
"WAKE","19-11",1,289,155,11,2
"BEAUFORT","RVRD",1,276,91,1,2
"JOHNSTON","PR23B",0,385,133,9,1
"CAMDEN","PROVISIONAL",0,15,3,0,0
"WAKE","OSAB 121-128",0,4,0,0,0
"FORSYTH","902",1,257,1274,14,4
"ROBESON","16",2,51,580,3,3
"PASQUOTANK","ONE STOP",23,6681,6951,70,19
"BRUNSWICK","04B2",2,3154,2630,61,7
"CLEVELAND","GROVER",1,1869,589,12,4
"GASTON","17",4,1834,1404,27,12
"BERTIE","OS LOB",2,1668,2394,13,2
"MADISON","EBBS C",0,552,296,6,2
"YADKIN","PROVISIONAL",0,37,0,0,1
"GASTON","23",5,1728,1191,30,5
"MECKLENBURG","241",3,2510,2743,44,16
"DURHAM","34-2",1,67,291,7,0
"LEE","A1",1,237,228,5,1
"DURHAM","31",0,198,233,13,1
"DAVIDSON","80A",10,3079,492,32,4
"MECKLENBURG","116",1,211,748,3,3
"WAKE","08-04",0,243,95,10,1
"HALIFAX","RR 10",1,203,93,4,0
"FORSYTH","606",0,405,868,10,9
"VANCE","NH1",4,98,1066,5,0
"ROBESON","32A",5,1747,1439,9,7
"HERTFORD","TRANSFER",0,0,0,0,0
"LINCOLN","IS23",1,330,64,8,0
"LINCOLN","PROVISIONAL",0,76,15,1,0
"TRANSYLVANIA","B4",5,474,752,11,3
"DURHAM","35.3",3,178,199,12,3
"DARE","SOSH",1,359,102,14,3
"DAVIDSON","28",3,1315,423,19,2
"FORSYTH","132",8,1839,1719,46,4
"FRANKLIN","12",0,660,427,6,1
"RICHMOND","02",4,374,145,6,0
"UNION","023",4,1197,520,20,4
"GUILFORD","H28",0,151,116,14,0
"GUILFORD","G75",0,16,165,0,2
"WAYNE","16",0,206,111,3,0
"GASTON","37",2,875,314,3,5
"HAYWOOD","BE-7",1,698,165,3,3
"GUILFORD","G47",2,76,241,5,6
"MECKLENBURG","005",2,153,719,7,2
"CATAWBA","09",3,1694,313,6,5
"WAKE","OSWA 1-40",10,5051,4132,90,16
"DURHAM","36",0,48,194,7,2
"ROWAN","26",0,1320,229,21,3
"GUILFORD","JAM3",1,146,74,2,1
"NEW HANOVER","M07",0,289,340,8,4
"WILSON","PRWM",2,1550,1749,38,7
"HARNETT","PR07",2,668,353,41,5
"WAKE","02-03",2,236,79,8,1
"MECKLENBURG","020",2,524,854,15,1
"BUNCOMBE","59.1",3,382,719,12,5
"ROWAN","14A",3,2553,825,27,6
"UNION","014",3,730,368,15,2
"WAKE","TRANS 1-40",0,0,0,0,0
"DURHAM","34-1",1,47,134,4,1
"DAVIDSON","26",2,613,206,8,2
"BURKE","0051",5,1733,814,14,1
"CLEVELAND","LAWNDL",1,790,563,5,2
"PITT","0901",0,174,78,2,0
"AVERY","16",0,211,61,0,0
"GUILFORD","G73",0,16,165,2,1
"WAKE","09-03",0,188,102,7,3
"FORSYTH","201",7,442,2563,19,6
"GUILFORD","RC1",1,186,95,4,1
"ROWAN","17",2,1238,599,14,3
"WAKE","01-04",1,131,109,3,3
"WASHINGTON","P3",0,159,103,1,0
"MECKLENBURG","069",2,1396,1139,24,2
"CRAVEN","02",11,3877,2385,135,9
"DURHAM","23",0,85,331,6,3
"BUNCOMBE","UNCA",1,427,4375,37,17
"WAKE","01-26",0,30,197,3,2
"ANSON","WS",1,147,95,0,0
"CABARRUS","12-05",0,239,106,7,1
"CLAY","SWEE",0,425,139,2,0
"ASHE","ABSENTEE",0,0,0,0,0
"MOORE","WND",0,251,86,3,1
"DUPLIN","ROCK",0,79,39,0,0
"CRAVEN","DFB9",2,378,291,3,0
"BURKE","0012",3,1347,146,3,1
"FORSYTH","133",6,2847,2258,43,8
"HALIFAX","RR7-9",1,176,243,5,1
"DAVIDSON","OS ARCADIA COMM BLDG",0,0,0,0,0
"BUNCOMBE","02.1",0,59,834,14,5
"ROBESON","37",1,373,60,4,0
"LENOIR","PH1",0,409,102,4,1
"MECKLENBURG","080",3,486,1631,18,11
"WAKE","07-02",0,121,97,3,0
"BUNCOMBE","23.3",0,79,233,2,3
"MECKLENBURG","224",5,808,1172,21,8
"HARNETT","PR31",0,164,112,4,0
"MOORE","ONE STOP RS",16,5663,4273,75,8
"GRANVILLE","OKHL",3,542,402,4,0
"WAKE","OSRB 1-40",7,644,8575,40,16
"COLUMBUS","P19",2,867,836,10,1
"ALEXANDER","M",1,1041,272,15,0
"BRUNSWICK","07",3,1578,1145,21,3
"MONTGOMERY","MTG",2,452,804,11,2
"WAKE","TRANS 81-120",0,0,0,0,0
"HOKE","12",2,1597,1091,43,5
"GUILFORD","MON1",0,147,246,5,0
"BERTIE","W2",0,226,10,0,0
"CUMBERLAND","EO61-1",8,1543,837,14,5
"BLADEN","P70",1,81,47,0,0
"FORSYTH","043",5,1141,1001,20,9
"HAYWOOD","FC-2",0,88,21,1,0
"CUMBERLAND","G3A-2",1,795,1007,18,9
"WAKE","09-02",3,209,243,5,3
"CRAVEN","21",4,1773,740,17,4
"HENDERSON","AR",1,601,305,10,4
"CABARRUS","12-14",3,309,178,8,1
"HARNETT","PR16",1,489,263,15,5
"WARREN","008",1,113,770,5,4
"MECKLENBURG","070",1,679,717,12,0
"CATAWBA","15",1,33,391,4,1
"MECKLENBURG","055",2,47,896,5,3
"WAKE","19-07",2,303,209,17,1
"ALAMANCE","103",4,1542,910,19,1
"BUNCOMBE","01.1",1,76,560,7,5
"BUNCOMBE","29.2",4,289,906,11,7
"WATAUGA","OS ADMIN",12,2409,2732,64,17
"MARTIN","BG",0,471,76,3,2
"MECKLENBURG","016",4,64,1795,6,2
"UNION","036",4,1218,429,11,2
